<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
von	w55
dem	w56
Schreiben	w57
<g/>
/
welches	w59
der	w60
Admiral	w61
Wager	w62
in	w63
Lateinischer	w64
Sprache	w65
an	w66
den	w67
Fürsten	w68
von	w69
Menzikof	w70
<g/>
,
den	w72
13	w73
<g/>
.
Julii	w75
hat	w76
ergehen	w77
lassen	w78
<g/>
.
</head>
<p id="p4">
„	w80
JCh	w81
lasse	w82
Gegewärtiges	w83
an	w84
Jhro	w85
Hoheit	w86
„	w87
ergehen	w88
<g/>
/
selbter	w90
die	w91
Ursach	w92
meiner	w93
„	w94
Ankunft	w95
mit	w96
der	w97
mir	w98
anvertrauten	w99
Flotte	w100
„	w101
kund	w102
zu	w103
thun	w104
<g/>
.
Der	w106
König	w107
<g/>
/
mein	w109
Herr	w110
<g/>
/
„	w112
hat	w113
mit	w114
anbefohlen	w115
<g/>
/
daß	w117
ich	w118
mit	w119
einem	w120
„	w121
Theil	w122
der	w123
See	w124
<g/>
=
Macht	w126
von	w127
Groß	w128
<g/>
=
Bri	w130
<g/>
=
„	w132
tannien	w133
absegeln	w134
<g/>
/
und	w136
nicht	w137
nur	w138
denen	w139
„	w140
Cronen	w141
von	w142
Dännemark	w143
und	w144
Schweden	w145
„	w146
<g/>
(
da	w148
ich	w149
bereits	w150
gewesen	w151
<g/>
)
sondern	w153
auch	w154
„	w155
Jhrer	w156
Majestät	w157
der	w158
Czarin	w159
<g/>
/
die	w161
nachdrük	w162
<g/>
=
„	w164
lichsten	w165
Verscherungen	w166
von	w167
einer	w168
aufrich	w169
<g/>
=
„	w171
tigen	w172
Freundschaft	w173
geben	w174
solte	w175
<g/>
.
Jch	w177
bin	w178
„	w179
insonderheit	w180
als	w181
Bevollmächtigter	w182
befeh	w183
<g/>
=
„	w185
let	w186
<g/>
/
daß	w188
ich	w189
mich	w190
der	w191
bequemesten	w192
Mittel	w193
„	w194
bedienen	w195
solle	w196
<g/>
/
die	w198
Streitigkeiten	w199
<g/>
/
welche	w201
„	w202
zwischen	w203
denen	w204
Fürsten	w205
von	w206
Norden	w207
seyn	w208
„	w209
möchten	w210
<g/>
/
in	w212
der	w213
Güte	w214
beyzulegen	w215
<g/>
/
und	w217
„	w218
also	w219
die	w220
Ruhe	w221
in	w222
Norden	w223
<g/>
/
als	w225
wovon	w226
die	w227
„	w228
Glückseligkeit	w229
Europens	w230
grösten	w231
Theils	w232
ab	w233
<g/>
=
„	w235
hanget	w236
<g/>
/
auf	w238
eine	w239
dauerhafte	w240
Art	w241
und	w242
„	w243
Weise	w244
wieder	w245
herzustellen	w246
<g/>
.
Bitte	w248
also	w249
Jh	w250
<g/>
=
„	w252
re	w253
Hoheit	w254
<g/>
/
welche	w256
als	w257
Premier PremierMinister	w258
<g/>
-
Minister	w260
„	w261
denen	w262
Geschäften	w263
vorstehen	w264
<g/>
/
sie	w266
