<doc id="edoc_wd_1730-03-22" attrs="word" year="1730" month="03" day="22" corpus="1">
<head id="hl2">
Mit	w17
Jhrer	w18
Römis	w19
<g/>
.
Kaiserl	w21
<g/>
.
und	w23
Cathol	w24
<g/>
.
Majestät	w26
Freyheit	w27
<g/>
.
</head>
<head id="hl3">
Zu	w29
finden	w30
in	w31
der	w32
Kaiserlichen	w33
Hof	w34
<g/>
=
Buchdruckerey	w36
dem	w37
Hof	w38
<g/>
=
Ball	w40
<g/>
=
Haus	w42
über	w43
<g/>
/
bey	w45
Johann	w46
Peter	w47
v	w48
<g/>
.
Ghelen	w50
<g/>
.
</head>
<head id="hl4">
Aus	w52
Spanien	w53
<g/>
.
</head>
<head id="hl5">
Madrid	w55
22	w56
<g/>
.
Februarii	w58
<g/>
.
</head>
<p id="p4">
Durch	w60
die	w61
jüngste	w62
von	w63
Sevillien	w64
vom	w65
16den	w66
Dieses	w67
angelangte	w68
Briefen	w69
hat	w70
man	w71
<g/>
/
daß	w73
der	w74
Hof	w75
von	w76
Castel	w77
<g/>
-
Blanco	w79
in	w80
selbiger	w81
Stadt	w82
noch	w83
nicht	w84
zurük	w85
angelang	w86
seye	w87
<g/>
.
Es	w89
werden	w90
die	w91
nöhtige	w92
Anstalten	w93
zu	w94
der	w95
Rei=se	w96
<g/>
=
des	w98
Printzen	w99
Don	w100
Carlos	w101
nach	w102
Jta=lien	w103
<g/>
=
vorgekehret	w105
<g/>
.
Es	w107
gehet	w108
ein	w109
Gerücht	w110
<g/>
/
daß	w112
die	w113
dorthin	w114
gewidmete	w115
Truppen	w116
vom	w117
Marquis	w118
von	w119
Spinola	w120
commandiret	w121
wer=den	w122
<g/>
=
solten	w124
<g/>
.
Man	w126
spricht	w127
<g/>
/
daß	w129
der	w130
Kö=nig	w131
<g/>
=
beschlossen	w133
habe	w134
<g/>
/
seine	w136
Haus	w137
Trup=pen	w138
<g/>
=
mit	w140
einem	w141
Corpo	w142
Granadiers	w143
<g/>
/
und	w145
Carabiniers	w146
zu	w147
Pferd	w148
zu	w149
vermehren	w150
<g/>
/
wie	w152
dann	w153
zu	w154
dem	w155
Ende	w156
die	w157
beste	w158
Leute	w159
in	w160
denen	w161
Cavallerie	w162
-Regimentern	w163
ausge=suchet	w164
<g/>
=
werden	w166
<g/>
.
Diejenige	w168
<g/>
/
welche	w170
über=nommen	w171
<g/>
=
haben	w173
<g/>
/
die	w175
Kleider	w176
für	w177
die	w178
Truppen	w179
zu	w180
liefern	w181
<g/>
/
müssen	w183
diese	w184
Liefe=rung	w185
<g/>
=
im	w187
Monat	w188
Junio	w189
thun	w190
<g/>
.
</p>
<head id="hl6">
Aus	w192
Jtalien	w193
<g/>
.
</head>
<head id="hl7">
Rom	w195
4	w196
<g/>
.
Martii	w198
<g/>
.
</head>
<p id="p5">
Freitags	w200
fruhe	w201
hielten	w202
die	w203
Herren	w204
Cardinäle	w205
in	w206
der	w207
Sacristey	w208
von	w209
St	w210
<g/>
.
Peter	w212
eine	w213
Versammlung	w214
<g/>
/
in	w216
welcher	w217
der	w218
Schatz	w219
<g/>
=
Meister	w221
Monsign	w222
<g/>
.
Negroni	w224
<g/>
,
und	w226
der	w227
General	w228
<g/>
=
Commissarius	w230
deren	w231
Waffen	w232
Monsign	w233
<g/>
.
Sardini	w235
<g/>
,
von	w237
ihren	w238
Aemtern	w239
ab	w240
<g/>
=
<g/>
/
und	w243
hingegen	w244
an	w245
derer	w246
Stelle	w247
der	w248
Monsign	w249
<g/>
.
Sagripante	w251
<g/>
,
und	w253
Monsign	w254
<g/>
.
Ricci	w256
eingesetzet	w257
wurden	w258
<g/>
.
Des	w260
</p>
<p id="p6">
Abends	w261
