<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
<g/>
.
</head>
<head id="hl2">
Londen	w51
den	w52
21	w53
<g/>
.
März	w55
<g/>
.
</head>
<p id="p5">
Obgleich	w57
die	w58
Bill	w59
von	w60
Abschaffung	w61
der	w62
Stempelacte	w63
ohne	w64
Widerspruch	w65
durchgegangen	w66
ist	w67
<g/>
,
so	w69
äussert	w70
sich	w71
doch	w72
bey	w73
verschiedenen	w74
Parlamentsgliedern	w75
ein	w76
innerlicher	w77
Gramm	w78
<g/>
,
welchen	w80
sie	w81
in	w82
einen	w83
öffentlichen	w84
Widerspruch	w85
einzukleiden	w86
kein	w87
Be=denken	w88
<g/>
=
tragen	w90
<g/>
.
Man	w92
will	w93
<g/>
,
daß	w95
die	w96
heute	w97
in	w98
Gegenwart	w99
des	w100
Königs	w101
zu	w102
St	w103
<g/>
.
James	w105
gehal=tene	w106
<g/>
=
ausserordentliche	w108
Rathsversammlung	w109
<g/>
,
nebst	w111
anderen	w112
wichtigen	w113
Angelegenheiten	w114
<g/>
,
auch	w116
diesen	w117
Umstand	w118
in	w119
Erwägung	w120
gezogen	w121
habe	w122
<g/>
.
</p>
<p id="p6">
Jnzwischen	w124
sind	w125
die	w126
hiesigen	w127
Handelsleute	w128
wirklich	w129
darauf	w130
bedacht	w131
<g/>
,
Sr	w133
<g/>
.
Majest	w135
<g/>
.
wegen	w137
dieser	w138
eingestelten	w139
Abgaben	w140
den	w141
unterthänig=sten	w142
<g/>
=
Dank	w144
abzustatten	w145
<g/>
.
</p>
<p id="p7">
Es	w147
verlautet	w148
<g/>
,
daß	w150
Se	w151
<g/>
.
Königl	w153
<g/>
.
Hoheit	w155
der	w156
Herzog	w157
von	w158
Glocester	w159
und	w160
des	w161
Herrn	w162
Erb=prinzen	w163
<g/>
=
von	w165
Braunschweig	w166
Hochfürstl	w167
<g/>
.
Durchl	w169
<g/>
.
diesen	w171
Sommer	w172
die	w173
italiänischen	w174
Länder	w175
be=suchen	w176
<g/>
=
dörften	w178
<g/>
.
Man	w180
setzet	w181
noch	w182
hinzu	w183
<g/>
,
daß	w185
die	w186
Reise	w187
über	w188
Lisabon	w189
gehen	w190
<g/>
,
und	w192
der	w193
Her=zog	w194
<g/>
=
von	w196
Glocester	w197
von	w198
unsers	w199
Königs	w200
<g/>
,
Seines	w202
Bruders	w203
Majest	w204
<g/>
.
einen	w206
Auftrag	w207
<g/>
,
der	w209
noch	w210
sehr	w211
geheim	w212
gehalten	w213
wird	w214
<g/>
,
bey	w216
dem	w217
dor=tigen	w218
<g/>
=
Könige	w220
zu	w221
vollziehen	w222
haben	w223
würde	w224
<g/>
.
</p>
<p id="p8">
Ein	w227
zu	w228
besorgender	w229
Friedensbruch	w230
von	w231
Sei=ten	w232
<g/>
=
des	w234
neuen	w235
Dey	w236
zu	w237
Algier	w238
<g/>
,
und	w240
die	w241
wehr=hafte	w242
<g/>
=
Verfassung	w244
der	w245
Stadt	w246
und	w247
Festung	w248
Gibraltar	w249
<g/>
,
sind	w251
zween	w252
Gegenstände	w253
<g/>
,
nach	w255
welchen	w256
unser	w257
Ministerium	w258
sein	w259
vorzügliches	w260
Augenmerk	w261
richtet	w262
<g/>
.
Auf	w264
sich	w265
ereignenden	w266
er=steren	w267
<g/>
=
Fall	w269
hat	w270
Commodore	w271
Harrison	w272
<g/>
,
wel=cher	w274
<g/>
=
in	w276
dem	w277
mittelländischen	w278
Meere	w279
kreutzet	w280
<g/>
,
laut	w282
der	w283
ihm	w284
mit	w285
einem	w286
Aviso	w287
zugeschickten	w288
Verhaltungsbefehle	w289
<g/>
,
zu	w291
wachen	w292
<g/>
.
So	w294
ist	w295
auch	w296
an	w297
den	w298
Gouverneur	w299
zu	w300
Gibraltar	w301
der	w302
Befehl	w303
abgegangen	w304
<g/>
,
nach	w306
welchem	w307
er	w308
sich	w309
<g/>
,
sowohl	w311
in	w312
Ansehung	w313
des	w314
durch	w315
einen	w316
Algierischen	w317
Frey=beuter	w318
<g/>
=
in	w320
den	w321
dasigen	w322
Hafen	w323
gebrachten	w324
spa=nischen	w325
<g/>
=
Schiffes	w327
<g/>
,
als	w329
der	w330
Sicherheit	w331
der	w332
Fe=stung	w333
<g/>
=
zu	w335
verhalten	w336
hat	w337
<g/>
.
</p>
<p id="p9">
Den	w339
28sten	w340
abgewichenen	w341
Monats	w342
hat	w343
der	w344
Hof	w345
an	w346
den	w347
Ritter	w348
Goodricke	w349
einen	w350
Courier	w351
abgeschickt	w352
<g/>
,
welcher	w354
demselben	w355
die	w356
Genehmi=gung	w357
<g/>
=
des	w359
Friedens	w360
<g/>
=
