<doc id="edoc_wd_1773-11-13" attrs="word" year="1773" month="11" day="13" corpus="1">
<head id="hl1">
Lißabon	w29
den	w30
21	w31
<g/>
.
Herbstm	w33
<g/>
.
</head>
<p id="p4">
Der	w35
Graf	w36
Masin	w37
<g/>
,
so	w39
einige	w40
Zeit	w41
als	w42
königl	w43
<g/>
.
Sardinischer	w45
Bottschafter	w46
allhier	w47
gestanden	w48
<g/>
,
und	w50
mit	w51
dem	w52
nämlichen	w53
Charakter	w54
nach	w55
Madrid	w56
abgehet	w57
<g/>
,
hat	w59
bey	w60
dem	w61
König	w62
<g/>
,
und	w64
der	w65
kön	w66
<g/>
.
Familie	w68
die	w69
Abschiedsaudienzen	w70
bereits	w71
er=halten	w72
<g/>
=
<g/>
.
Dagegen	w75
ist	w76
der	w77
bisher	w78
am	w79
königl	w80
<g/>
.
dänischen	w82
Hofe	w83
gestandene	w84
hiesige	w85
Gesandte	w86
<g/>
,
Herr	w88
Rongel	w89
<g/>
,
zurückgekommen	w91
<g/>
,
dörfte	w93
aber	w94
bald	w95
in	w96
eben	w97
dieser	w98
Eigenschaft	w99
bey	w100
einem	w101
anderen	w102
auswärtigen	w103
Hofe	w104
gebraucht	w105
werden	w106
<g/>
.
Der	w108
Herr	w109
Marches	w110
de	w111
Pombal	w112
ist	w113
auf	w114
seine	w115
rrschaft	w116
Oeyras	w117
abgegangen	w118
<g/>
.
</p>
<head id="hl2">
Paris	w120
den	w121
26	w122
<g/>
.
Weinm	w124
<g/>
.
</head>
<p id="p5">
Nachdeme	w126
Se	w127
<g/>
.
Majestät	w129
der	w130
König	w131
am	w132
verwichenen	w133
Montage	w134
mit	w135
dem	w136
Hrn	w137
<g/>
.
HerHerzoge	w139
<g/>
=
</p>
<p id="p6">
zoge	w141
de	w142
la	w143
Vrilliere	w144
gearbeitet	w145
<g/>
,
so	w147
sind	w148
fol=gende	w149
<g/>
=
10	w151
Ehrencavalliers	w152
für	w153
den	w154
Grafen	w155
von	w156
Artois	w157
ernannt	w158
worden	w159
<g/>
:
der	w161
Marquis	w162
de	w163
Monteil	w164
<g/>
,
der	w166
Ehevalier	w167
de	w168
la	w169
Tour	w170
du	w171
Pin	w172
<g/>
,
der	w174
Chevalier	w175
d'Escars	w176
<g/>
,
der	w178
Mar=quis	w179
<g/>
=
